195 Watts,6-Jan-25
191 Watts,23-Nov-24
183 Watts,13-Nov-24
175 Watts,23-Aug-24
170 Watts,12-Aug-24
155 Watts,9-Aug-24
150 Watts,1-Jul-24
190 Watts,28-Apr-24
187 Watts,5-Apr-24
184 Watts,28-Mar-24
182 Watts,24-Mar-24
181 Watts,2-Feb-24
176 Watts,22-Jan-24
164 Watts,10-Dec-23
181 Watts,21-Nov-23
178 Watts,7-Nov-23
176 Watts,15-Oct-23
155 Watts,1-Oct-23
144 Watts,28-Sep-23
135 Watts,18-Sep-23
120 Watts,1-Aug-23
198 Watts,10-Jan-23
191 Watts,27-Dec-22
174 Watts,18-Nov-22
157 Watts,15-Nov-22
150 Watts,1-Nov-22
203 Watts,19-Jun-22
200 Watts,12-Jun-22
196 Watts,4-Jun-22
191 Watts,15-May-22
187 Watts,5-Apr-22
190 Watts,5-Mar-22
167 Watts,16-Jan-22
154 Watts,2-Jan-22
145 Watts,14-Dec-21
152 Watts,18-Sep-21
124 Watts,18-Aug-21
203 Watts,5-Apr-21
196 Watts,24-Mar-21
206 Watts,4-Mar-21
196 Watts,26-Jan-21
190 Watts,2-Jan-21
195 Watts,30-Nov-20
178 Watts,27-Nov-20
174 Watts,22-Nov-20
169 Watts,18-Nov-20
154 Watts,13-Oct-20
147 Watts,1-Oct-20
189 Watts,21-Jun-20
194 Watts,24-Apr-20
194 Watts,2-Jan-20
180 Watts,18-Jul-19
